_a priori_, "From first principles."
_ad patres_, "gone to his fathers, died"
_amour propre_, "Self-respect."
_ex ante_, "Before the event."
_menhera_, "Japanese slang, from 'mental health', describes a fictional character with a mental disorder."
_mos maiorum_, "Ancestral customs."
_ne varietur_, "An assertion that something, usually a document, must not be altered."
_obiter dicta_, Things said in passing.
_prima facie_, At first sight.
_pro forma_, "Perfunctorily, for the sake of procedure or politeness."
_pro tempore_, Used to describe a person temporarily filling a role.
_sitzfleisch_, "German for the ability to endure or carry on with an activity."
_sotto voce_, quietly
abstemious, indulging in moderation
amdram, "Amateur dramatics."
anastylosis, "The reconstruction of archaeological ruins from the remaining fragments."
antinomian, Rejecting laws and moral codes.
antinomy, "A contradiction or paradox."
antiparallel, going in opposite directions
atp, "At this point."
badelaire, "A short sword with a heavy, curved blade; and S-shaped quillons."
badinage, banter
barangay, The smallest administrative division of the Philippines.
barbican, "A tower at the entrance to a castle or fortress."
burgeon, "a bud, sprout, or shoot"
bête noire, "Literally “black beast”; figuratively, an object of aversion."
chancel, "The part of a church near the altar, separated from the nave by a barrier."
corbel, A projection jutting out from a wall.
cupidity, greed
cynosure, A focal point of attention and admiration.
desultory, disappointing
dispositive, Relating to a final judgement or determination.
distaff, "A tool used in textile spinning to hold unspun fibers."
dovecote, "A structure for housing pigeons or doves."
dowdy, Unfashionably dressed.
ecdysis, "The process of a reptile or insect shedding off old skin."
epigram, "A short, witty saying."
epigraph, A quotation at the beginning of a book.
eroge, "A Japanese genre of erotic video games."
explanandum, "A sentence describing a phenomenon to be explained."
expository, "Of a work of literature: intended to explain or inform."
facile, superficial
feckless, purposeless/unskilled
fen, "A swamp or mire."
fiberop, Optical fibre.
flense, "To strip the blubber or skin from an animal."
fubar, "Fucked up beyond all repair."
fudanshi, "A male fan of yaoi."
fujoshi, "A female fan of yaoi."
gallipot, "A small pot used by apothecaries to hold medicines."
glyptic art, The art of carving small gemstones.
grandam, grandmother
hauberk, "A coat of mail."
hereunder, Under this
hieratic, of or pertaining to priests
himejoshi, "A female fan of yuri."
hylic, "Of or relating to the physical world."
hypostatize, to treat something abstract as concrete
ijbol, "I just burst out laughing."
imbricate, to overlap
impecunious, Lacking money
insouciance, indifference/nonchalance
inveigle, To convince through lies and flattery.
loquacious, Talkative.
machicolation, "A hole on the floor of a corbel, through which stones can be thrown at attackers."
manacle, shackles
mantic, prophetic
meretricious, Apparently attractive but lacking real value
milliner, A hatmaker.
mojibake, "Corrupted text resulting from using the wrong character decoding."
moral exemplar, "A moral role model."
mucilaginous, "A sticky or gelatinous substance."
nicodemite, Someone suspected of misrepresenting their religious beliefs.
outré, extravagant
panentheism, "The idea that God is everywhere, but also transcends the material universe."
particoloured, many-coloured
phlegmatic, "Calm and unemotional."
pluperfect, more than perfect/ideal
prosaic, "like prose, matter of fact, lacking poetry"
protean, frequently changing
quillon, "Another word for the crossguard of a sword."
redolent, "Having the smell of something, suggestive"
reproach, "To rebuke someone, e.g. 'do not reproach this to me'."
sangfroid, composure/coolness
sanguine, optimistic
sere, dried up
serried, standing close together
sexton, "A church official who looks after a church and its graveyard."
slovenly, "An untidy, unkempt person."
snafu, "Situation normal, all fucked up."
spavined, "Lame, old, worn-out."
stolid, "Calm, dependable."
sully, To soil something.
thole, "To endure something."
threadbare, (of clothing) worn out
trabant, satellite/follower
upbraid, To criticize severely.
valetudinarian, Hypochondriacal.
vehmic, "Of or relating to the Vehm, a medieval German secret court."
vignette, "A short, plotless slice-of-life story."
vitiate, "To reduce the effectiveness of something."
voir dire,A preliminary examination of a juror or witness.
wane, To diminish.
wax (verb), to grow
wherefore, why / therefore
whither, "To what place."
